GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,LengthFG,Description,PlayType,Outcome,OutcomePts,FieldGoalMade
2019111708,2019-11-17,1,10,35,ARI,SF,4,8,92,26,"(10:35) 5-Z.GONZALEZ 26 YARD FIELD GOAL IS GOOD, CENTER-46-A.BREWER, HOLDER-4-A.LEE.",FIELD GOAL,IS GOOD,3,1
2019111705,2019-11-17,1,11,36,DEN,MIN,4,1,71,47,"(11:36) 8-B.MCMANUS 47 YARD FIELD GOAL IS GOOD, CENTER-42-C.KREITER, HOLDER-6-C.WADMAN.",FIELD GOAL,IS GOOD,3,1
2019112403,2019-11-24,4,3,21,PIT,CIN,4,5,92,26,"(3:21) 9-C.BOSWELL 26 YARD FIELD GOAL IS GOOD, CENTER-57-K.CANADAY, HOLDER-4-J.BERRY.",FIELD GOAL,IS GOOD,3,1
2019112403,2019-11-24,4,12,4,PIT,CIN,4,4,71,47,"(12:04) (FIELD GOAL FORMATION) 9-C.BOSWELL 47 YARD FIELD GOAL IS GOOD, CENTER-57-K.CANADAY, HOLDER-4-J.BERRY.",FIELD GOAL,IS GOOD,3,1
2019112407,2019-11-24,2,13,12,DET,WAS,4,4,95,24,"(13:12) 5-M.PRATER 24 YARD FIELD GOAL IS GOOD, CENTER-48-D.MUHLBACH, HOLDER-6-S.MARTIN.",FIELD GOAL,IS GOOD,3,1
2019112407,2019-11-24,1,2,34,WAS,DET,4,8,90,28,"(2:34) 3-D.HOPKINS 28 YARD FIELD GOAL IS GOOD, CENTER-57-N.SUNDBERG, HOLDER-5-T.WAY.",FIELD GOAL,IS GOOD,3,1
2019112403,2019-11-24,3,5,11,CIN,PIT,4,4,91,27,"(5:11) 4-R.BULLOCK 27 YARD FIELD GOAL IS GOOD, CENTER-46-C.HARRIS, HOLDER-10-K.HUBER.",FIELD GOAL,IS GOOD,3,1
2019112402,2019-11-24,2,0,11,CHI,NYG,4,5,92,26,"(:11) (FIELD GOAL FORMATION) 15-E.PINEIRO 26 YARD FIELD GOAL IS GOOD, CENTER-48-P.SCALES, HOLDER-16-P.O'DONNELL.",FIELD GOAL,IS GOOD,3,1
2019112100,2019-11-21,2,13,46,HOU,IND,4,4,83,35,"(13:46) 7-K.FAIRBAIRN 35 YARD FIELD GOAL IS GOOD, CENTER-46-J.WEEKS, HOLDER-9-B.ANGER.",FIELD GOAL,IS GOOD,3,1
2019112400,2019-11-24,1,12,52,ATL,TB,4,7,93,25,"(12:52) 7-Y.KOO 25 YARD FIELD GOAL IS GOOD, CENTER-47-J.HARRIS, HOLDER-9-R.ALLEN.",FIELD GOAL,IS GOOD,3,1
