name,TSID,turn_in_leg,pbt_start,n_throws,triple_seq,n_success,wonprevious
Simon Whitlock,251,2,420,3,1 1 1,3,0
Simon Whitlock,251,3,240,3,0 0 1,1,0
Simon Whitlock,252,1,501,3,0 0 1,1,1
Simon Whitlock,252,2,404,3,1 1 0,2,1
Simon Whitlock,252,3,264,3,0 1 0,1,1
Simon Whitlock,252,4,183,1,0,0,1
Simon Whitlock,253,1,501,3,1 1 1,3,0
Simon Whitlock,253,2,321,3,0 0 1,1,0
Simon Whitlock,253,3,230,3,0 0 0,0,0
Simon Whitlock,254,1,501,3,0 1 1,2,1
Simon Whitlock,254,2,361,3,0 0 1,1,1
Simon Whitlock,254,3,265,3,0 0 0,0,1
Simon Whitlock,254,4,207,2,0 1,1,1
Simon Whitlock,255,1,501,3,1 0 0,1,1
Simon Whitlock,255,2,401,3,0 0 0,0,1
Simon Whitlock,255,3,342,3,1 1 0,2,1
Simon Whitlock,255,4,202,2,0 0,0,1
Simon Whitlock,256,1,501,3,1 1 1,3,1
Simon Whitlock,256,2,321,3,0 1 0,1,1
Simon Whitlock,256,3,240,2,1 1,2,1
Simon Whitlock,257,1,501,3,1 0 0,1,1
Simon Whitlock,257,2,418,3,1 1 1,3,1
Simon Whitlock,257,3,238,1,1,1,1
Simon Whitlock,258,1,501,3,0 0 1,1,0
Simon Whitlock,258,2,420,3,1 1 0,2,0
Simon Whitlock,258,3,280,3,1 0 1,2,0
Simon Whitlock,259,1,501,3,0 1 0,1,1
Simon Whitlock,259,2,401,3,0 0 1,1,1
Simon Whitlock,259,3,310,3,0 1 1,2,1
Simon Whitlock,260,1,501,3,1 1 1,3,1
Simon Whitlock,260,2,321,3,0 1 0,1,1
Simon Whitlock,260,3,241,2,1 1,2,1
Simon Whitlock,261,1,501,3,0 0 0,0,0
Simon Whitlock,261,2,443,3,0 1 0,1,0
Simon Whitlock,261,3,347,3,0 0 0,0,0
Simon Whitlock,261,4,288,3,0 0 1,1,0
Simon Whitlock,262,1,501,3,1 0 0,1,0
Simon Whitlock,262,2,426,3,0 0 1,1,0
Simon Whitlock,262,3,347,3,0 0 0,0,0
Simon Whitlock,262,4,289,3,0 1 1,2,0
Simon Whitlock,263,1,501,3,0 0 1,1,1
Simon Whitlock,263,2,401,3,0 0 0,0,1
Simon Whitlock,263,3,356,3,0 0 0,0,1
Simon Whitlock,263,4,296,3,0 0 0,0,1
Simon Whitlock,264,1,501,3,1 0 0,1,0
Simon Whitlock,264,2,401,3,0 0 0,0,0
Simon Whitlock,264,3,343,3,0 0 1,1,0
Simon Whitlock,264,4,250,2,1 0,1,0
Simon Whitlock,265,1,501,3,1 1 1,3,0
Simon Whitlock,265,2,321,3,1 1 1,3,0
Simon Whitlock,266,1,501,3,0 0 0,0,1
Simon Whitlock,266,2,457,3,0 0 1,1,1
Simon Whitlock,266,3,360,3,1 0 1,2,1
Simon Whitlock,266,4,220,1,1,1,1
Simon Whitlock,267,1,501,3,0 0 0,0,1
Simon Whitlock,267,2,456,3,0 1 1,2,1
Simon Whitlock,267,3,322,3,1 1 1,3,1
Simon Whitlock,268,1,501,3,0 0 0,0,0
Simon Whitlock,268,2,442,3,1 1 0,2,0
Simon Whitlock,268,3,302,3,0 0 0,0,0
Simon Whitlock,268,4,242,2,0 1,1,0
Simon Whitlock,269,1,501,3,1 0 1,2,1
Simon Whitlock,269,2,361,3,1 1 0,2,1
Simon Whitlock,269,3,221,1,1,1,1
Simon Whitlock,270,1,501,3,1 0 1,2,1
Simon Whitlock,270,2,368,3,0 0 1,1,1
Simon Whitlock,270,3,274,3,0 0 1,1,1
Simon Whitlock,271,1,501,3,0 0 0,0,1
Simon Whitlock,271,2,442,3,0 1 1,2,1
Simon Whitlock,271,3,302,3,1 0 1,2,1
Simon Whitlock,272,1,501,3,0 0 1,1,0
Simon Whitlock,272,2,408,3,0 0 1,1,0
Simon Whitlock,272,3,312,3,0 0 0,0,0
Simon Whitlock,272,4,252,3,0 0 0,0,0
Simon Whitlock,272,5,192,1,0,0,0
Simon Whitlock,273,1,501,3,0 0 0,0,1
Simon Whitlock,273,2,445,3,0 0 0,0,1
Simon Whitlock,273,3,387,3,0 1 0,1,1
Simon Whitlock,273,4,291,2,1 1,2,1
Simon Whitlock,274,1,501,3,1 1 1,3,0
Simon Whitlock,274,2,321,3,0 0 0,0,0
Simon Whitlock,274,3,264,3,1 0 1,2,0
Simon Whitlock,275,1,501,3,0 0 0,0,1
Simon Whitlock,275,2,443,3,0 1 1,2,1
Simon Whitlock,275,3,303,3,0 0 0,0,1
Simon Whitlock,275,4,244,3,0 0 1,1,1
Simon Whitlock,276,1,501,3,1 0 0,1,0
Simon Whitlock,276,2,401,3,0 0 1,1,0
Simon Whitlock,276,3,315,3,0 0 0,0,0
Simon Whitlock,276,4,257,2,1 0,1,0
Simon Whitlock,277,1,501,3,0 0 0,0,0
Simon Whitlock,277,2,458,3,0 0 1,1,0
Simon Whitlock,277,3,380,3,0 0 1,1,0
Simon Whitlock,277,4,303,3,0 0 0,0,0
Simon Whitlock,277,5,251,3,0 0 0,0,0
Simon Whitlock,277,6,194,1,0,0,0
Simon Whitlock,278,1,501,3,0 0 0,0,0
Simon Whitlock,278,2,456,3,1 1 1,3,0
Simon Whitlock,278,3,282,2,1 1,2,0
Simon Whitlock,279,1,501,3,1 0 1,2,1
Simon Whitlock,279,2,361,3,0 1 1,2,1
Simon Whitlock,279,3,221,3,0 0 1,1,1
Simon Whitlock,280,1,501,3,0 0 0,0,1
Simon Whitlock,280,2,442,3,0 1 1,2,1
Simon Whitlock,280,3,302,3,0 0 0,0,1
Simon Whitlock,280,4,244,2,0 1,1,1
Simon Whitlock,281,1,501,3,0 0 1,1,0
Simon Whitlock,281,2,404,3,1 1 1,3,0
Simon Whitlock,281,3,224,1,1,1,0
Simon Whitlock,282,1,501,3,0 0 0,0,1
Simon Whitlock,282,2,443,3,1 1 1,3,1
Simon Whitlock,282,3,272,3,1 0 0,1,1
Simon Whitlock,282,4,192,1,1,1,1
Simon Whitlock,283,1,501,3,0 0 0,0,1
Simon Whitlock,283,2,461,3,1 0 1,2,1
Simon Whitlock,283,3,321,3,0 1 1,2,1
Simon Whitlock,283,4,181,1,0,0,1
Simon Whitlock,284,1,501,3,1 1 1,3,1
Simon Whitlock,284,2,321,3,1 0 1,2,1
Simon Whitlock,284,3,181,1,0,0,1
Simon Whitlock,285,1,501,3,0 0 0,0,0
Simon Whitlock,285,2,442,3,0 1 1,2,0
Simon Whitlock,285,3,308,3,0 1 0,1,0
Simon Whitlock,285,4,214,2,0 0,0,0
Simon Whitlock,286,1,501,3,0 1 0,1,0
Simon Whitlock,286,2,401,3,1 0 0,1,0
Simon Whitlock,286,3,304,3,0 0 0,0,0
Simon Whitlock,286,4,248,3,0 0 0,0,0
Simon Whitlock,286,5,204,2,0 1,1,0
Simon Whitlock,287,1,501,3,0 0 1,1,0
Simon Whitlock,287,2,401,3,1 1 0,2,0
Simon Whitlock,287,3,261,2,1 1,2,0
